COUNTRY_ID,COUNTRY_NAME,COUNTRY_NAME_DE,COUNTRY_NAME_FR,COUNTRY_NAME_ES,COUNTRY_NAME_IT,COUNTRY_NAME_PO,COUNTRY_NAME_JA,COUNTRY_NAME_SCH,COUNTRY_NAME_KO
1,USA,USA,Etats-Unis,Estados Unidos,USA,Estados Unidos,アメリカ,美国,미국
2,Spain,Spanien,Espagne,España,Spagna,Espanha,スペイン,西班牙,스페인
3,England,England,Angleterre,Inglaterra,Inghilterra,Inglaterra,イギリス,英国,영국
4,France,Frankreich,France,Francia,Francia,França,フランス,法国,프랑스
5,Germany,Deutschland,Allemagne,Alemania,Germania,Alemanha,ドイツ,德国,독일
6,Canada,Kanada,Canada,Canadá,Canada,Canadá,カナダ,加拿大,캐나다
7,Web,Web,Web,Web,Web,Web,Web,Web,웹
